Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
变革之声,9787559665010,128.0,焦亚著,北京联合出版公司,2022,北京,568页,J609.1,0,0,0,,Arts
古代法 ,9787100132183,37.0,"(英)梅因 (Maine, Henry Sumner 1822~1888) 著", 商务印书馆, 2017,北京 ,"17,255页 ",D909.9,0,0,0,,Social Sciences
古董局中局.1,9787540486075,45.0,马伯庸著,湖南文艺出版社,2018.05   ,长沙,293页     ,I247.5,1,0,1,37.12,Literature
古都,9787573502353,49.0,(日)川端康成著,南海出版公司,2022,海口,330页,I313.45,1,0,1,129.93,Literature
古都.5,9787220128165,49.6,（日）川端康成著,四川人民出版社,2023,成都,241页,I313.45,1,0,1,,Literature
叶卡捷琳娜大帝与波将金 ：全2册.1,9787522813684,99.0,（英）西蒙.赛巴格.蒙蒂菲奥里著 ,社会科学文献出版社 ,2023,北京 ,"2册(12,1005页) ",K835.120.9,4,2,6,51.39,Social Sciences
叶卡捷琳娜大帝与波将金 ：全2册.2,9787522813684,99.0,（英）西蒙.赛巴格.蒙蒂菲奥里著 ,社会科学文献出版社 ,2023,北京 ,"2册(12,1005页) ",K835.120.9,3,1,4,51.39,Social Sciences
周易家居环境调理,9787802143975,49.0,李计忠,团结出版社,2010,北京,327页,B221.5,1,0,1,,General / Misc
周易教程,9787100187084,98.0,周山著,商务印书馆,2020,北京,"14,508页",B221.5,1,0,1,,General / Misc
周易简释 ,9787559652669,98.0,余秋雨(1946~) 著, 北京联合出版公司, 2021,北京 ,"247,40页 ",B221.5,1,0,1,,General / Misc
哈佛经济学笔记 ,9787539938608,42.0,陈晋 (女) 著, 江苏文艺出版社, 2010,南京 ,288页 ,F0-49,2,0,2,42.99,Social Sciences
哈利·波特与历史,9787500170969,68.0,（法）里多诺著,中译出版社,2022,北京,229页,I561.078,1,0,1,38.25,Literature
哲学之树 : 通往自我认知的哲学课,9787108069306,59.0,"(美)庞思奋 (Palmquist, Stephen R.) 著",生活·读书·新知三联书店,2022,北京,"15,392页 : 图",B,0,0,0,,General / Misc
哲学思想录,9787532785186,48.0,（法）狄德罗著,上海译文出版社有限公司,2021,上海,"41,154页",B565.28,0,0,0,,General / Misc
哲学的故事,9787513306331,49.0,"(美)杜兰特著,张程程译",新星出版社,2013.04   ,北京,420页     ,B1,0,0,0,,General / Misc
唐诗宋词,9787508547206,68.0,杜爱萍著,五洲传播出版社,2022,北京,249页,I207.2,0,0,0,,Literature
商业海报设计,9787302613329,69.8,屈正庚著,清华大学出版社,2022,北京,165页,J524.3,1,0,1,,Arts
国富论,9787100108843,148.0,（英）亚当·斯密著,商务印书馆,2015,北京,920页,F091.33,0,0,0,,Social Sciences
国际文凭大学预科项目中文A课程文学术语手册,9789620440151,95.0,董宁著,三联书店(香港)有限公司,2016      ,香港,309页     ,IB-1-CH-1,1,0,1,,Literature
图解行为经济学中的思维陷阱,9787504699879,69.0,波波工作室著,中国科学技术出版社,2023,北京,170页,F069.9-64,2,0,2,19.43,Social Sciences
國際文憑大學預科項目中文A語言與文學課程學習指導——文学卷(简体版),9789620433641,141.3,禹慧灵编著,三联书店(香港)有限公司,2013.3    ,香港,265页     ,IB-1-CH-1,1,0,1,11.06,Literature
國際文憑大學預科項目中文A語言與文學課程學習指導——评估卷(简体版),9789620433641,141.3,禹慧灵编著,三联书店(香港)有限公司,2013.3    ,香港,461页     ,IB-1-CH-1,1,0,1,,Literature
國際文憑大學預科項目中文A語言與文學課程學習指導——语言卷(简体版),9789620433641,141.3,禹慧灵编著,三联书店(香港)有限公司,2013.3    ,香港,132页     ,IB-1-CH-1,1,0,1,,Literature
在轮下,9787532780822,98.0,（德）黑塞著,上海译文出版社,2019.4,上海,202页,I516.15,1,0,1,43.03,Literature
地狱之行:1914-1949,9787508683003,89.0,(英)克肖著;林华译,中信出版社,2019.01   ,北京,588页     ,K505,1,0,1,165.98,Social Sciences
基因：不平等的遗传,9787508680743,58.0,"(美)道尔顿·康利 (Conley, Dalton) 著", 中信出版集团股份有限公司, 2018,北京 ,360页 ,Q343.1-49,1,1,2,73.03,Science
大象的证词,9787513338134,42.0,（英）克里斯蒂著,新星出版社,2022,北京,204页,I561.45,1,0,1,33.87,Literature
奥斯曼之影 : 塞利姆的土耳其帝国与现代世界的形成,9787521735765,118.0,"(美)阿兰·米哈伊尔 (Mikhail, Alan 1979~) 著",中信出版社,2021,北京,"14,578页 : 图，地图",K374.3,0,0,0,,Social Sciences
女书规范字书法字帖,9787302467052,69.8,赵丽明 著,清华大学出版社 ,2017,北京 ,202页 ,J292.1,2,1,3,48.96,Arts
女性影像手册,9787532181759,49.0,张屏瑾著,上海文艺出版社,2022,上海,195页,J905-53,1,0,1,,Arts
她之所以为她,9787521749571,69.0,(法)加西亚,中信出版集团股份有限公司,2023,北京,"11,228页",C913.68,1,0,1,,General / Misc
她们的传奇 ：率性而为的女性们,9787505751767,138.0,"(法)佩内洛普·芭桔 (Bagieu, Penelope) 编绘", 中国友谊出版公司, 2021,北京 ,303页 : 彩图 ,K818.5,0,0,0,,Social Sciences
好好告别,9787572502583,79.9,（英）曼尼克斯著,河南科学技术出版社,2021,郑州,"11,327页",I712.55,1,1,2,46.05,Literature
如何做一个领导者,9787547320198,55.0,（古罗马）普鲁塔克著,东方出版中心,2022,上海,"11,143页",C933,1,0,1,,General / Misc
如何写影评（插图修订第8版）,9787559614452,45.0,"(美)蒂莫西·J. 科里根 (Corrigan, Timothy J.) 著", 北京联合出版公司, 2018,北京 ,"17,195页 ",J905,2,0,2,74.1,Arts
如何制作音乐剧 ,9787552310375,30.0,"(英)马修·怀特 (White, Matthew) 著", 上海音乐出版社, 2016,上海 ,119页 ,J832,0,0,0,,Arts
