Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
康德哲学讲演录,9787100185431.0,56.0,邓晓芒著,商务印书馆,2020,北京,336页,B516.31,0,0,0,,General / Misc
康德的世界,9787511735034.0,49.0,（德）盖尔著,中央编译出版社,2018,北京,322页,B516.31,1,0,1,6.05,General / Misc
建筑,9787807680284.0,43.0,（英）弗伦奇著,生活·读书·新知三联书店,2014,北京,144页,TU-092,1,0,1,49.58,Science
建筑与文化,9787513565202.0,20.0,（英）巴兰坦 著,外语教学与研究出版社 ,2015,北京 ,193页 ,TU-861,1,0,1,,Science
建筑师的1堂必修课,9787111711544.0,49.0,罗松著,机械工业出版社,2022,北京,301页,TU,2,0,2,25.73,Science
建筑课,9787559664976.0,21.0,林徽因著,北京联合出版公司,2022,北京,144页,TU-0,1,1,2,45.16,Science
建筑鉴赏方法,9787805018195.0,69.8,(意)普利纳著,北京美术摄影出版社,2016.06   ,北京,375页     ,TU-861,1,0,1,,Science
弃长安,9787545566062.0,68.0,张明扬著,天地出版社,2022,成都,312页,K242.205,0,0,0,,Social Sciences
弗吉尼亚·伍尔夫传,9787532186198.0,88.0,（英）林德尔.戈登著 ,上海文艺出版社 ,2024,上海 ,531页 ,K835.615.6,1,1,2,,Social Sciences
弗雷格 ,9787100149914.0,85.0,(英)达米特 著, 商务印书馆, 2017,北京 ,"47,954页 ",B516.59,1,0,1,130.72,General / Misc
弦理论,9787562490234.0,29.0,(美)古布泽著,重庆大学出版社,2017.05   ,重庆,222页     ,O41,1,0,1,61.1,Science
当下的力量:白金版,9787508661766.0,59.0,(德)托利著;曹植译,中信出版社,2016.06   ,北京,260页     ,B821-49,2,2,4,45.52,General / Misc
当代科学事实的争论研究,9787552039580.0,88.0,张帆著,上海社会科学院出版社,2022,上海,276页,N02,1,0,1,0.0,General / Misc
彷徨,9787020142187.0,26.0,鲁迅著,人民文学出版社,2021,北京,185页,I210.6,2,1,3,27.41,Literature
彷徨之刃,9787544276207.0,39.5,(日)东野圭吾著,南海出版公司,2015.04   ,海口,327页     ,I313.45,1,0,1,66.14,Literature
微暗的火,9787532780693.0,63.0,（美）纳博科夫著,上海译文出版社有限公司,2019,上海,378页,I712.45,1,0,1,11.12,Literature
微积分入门,9787115500557.0,99.0,(日)小平邦彦著,人民邮电出版社,2019,北京,455页,O172,1,0,1,,Science
微积分和数学分析引论. 第一卷. 第二分册,9787030084699.0,99.0,"(美)R. 柯朗 (Courant, Richard 1888~1972) 著",科学出版社,2001,北京,365页,O17,2,0,2,68.19,Science
微积分的力量,9787521723298.0,69.0,"(美)史蒂夫·斯托加茨 (Strogatz, Steven) 著",中信出版社,2021,北京,371页；图,O172-49,1,0,1,14.89,Science
微积分的计算：数理经济学与统计经济学辅助教程 ,9787100205900.0,26.0,"(美) 费雪( Fisher, Irving)著",商务印书馆,2022,北京,89页,O172,2,0,2,63.99,Science
德国简史,9787544286107.0,35.0,（美）帕米利著,南海出版公司,2018,海口,196页,K516.09,1,0,1,165.98,Social Sciences
德米安,9787559661586.0,42.0,(德)黑塞,北京联合出版公司,2022,北京,"12,185页",I516.45,1,0,1,5.88,Literature
心向原野,9787020175208.0,65.0,（英）梅比著,人民文学出版社,2022,北京,"10,311页",I561.65,1,0,1,10.09,Literature
心流:最优体验心理学,9787508675534.0,49.0,(美)契克森米哈赖著;张定绮译,中信出版社,2017.12   ,北京,381页     ,B84-49,1,0,1,3.93,General / Misc
心理学 ,9787108052742.0,28.0,"(英)班森 (Benson, Nigel C.) 文", 生活·读书·新知三联书店, 2016,北京 ,177页 : 图 ,B84,1,0,1,0.79,General / Misc
心理学之书,9787562494669.0,88.0,"(美)皮克伦著;杨文登,殷融,苏得权译;叶浩生",重庆大学出版社,2016.02   ,重庆,266页     ,B84-49,2,0,2,6.52,General / Misc
心理治疗为什么有用,9787519299118.0,59.0,（美）科佐利诺著,世界图书出版有限公司北京分公司,2023,北京,256页,R749.055,1,0,1,12.22,General / Misc
心理神探:我与FBI心理画像术,9787532775644.0,58.0,(美)道格拉斯,上海译文出版社,2017.10   ,上海,384页     ,I712.45,1,1,2,29.21,Literature
快乐的死,9787532168750.0,39.0,"(法)阿尔贝·加缪 (Camus, Albert 1913~1960) 著",上海文艺出版社,2019,上海,149页,I565.45,3,0,3,36.85,Literature
怀疑论者:理性看世界,9787559621436.0,42.0,(美)舍默著;李可怡译,北京联合出版公司,2018.07   ,北京,280页     ,B083,1,0,1,,General / Misc
思想经济学,9787500170662.0,68.0,（英）沙著,中译出版社,2022,北京,"23,322页",I561.55,1,0,1,32.98,Literature
"思考,快与慢",9787508633558.0,69.0,"(美)卡尼曼著,李爱民,何梦莹译",中信出版社,2016.06   ,北京,424页     ,F069.9-49,4,0,4,37.24,Social Sciences
思考就是我的抵抗,9787521745986.0,49.0,（英）吴尔夫著,中信出版集团股份有限公司,2022,北京,248页,I561.65,1,1,2,56.96,Literature
性学三论,9787533941628.0,32.0,（奥）弗洛伊德著,浙江文艺出版社,2015,杭州,222页,C913.14,1,1,2,,General / Misc
性格心理学,9787545910056.0,32.0,邹宏明著,鹭江出版社,2015.12   ,厦门,212页     ,B848-49,1,0,1,1.05,General / Misc
怨女,9787530218723.0,55.0,张爱玲著,北京十月文艺出版社,2019.03,,290,I246.7,1,0,1,253.97,Literature
怪诞行为学,9787508680965.0,48.0,(美)艾瑞里著,中信出版社,2017,北京,"28,325页",F069.9-49,1,0,1,38.86,Social Sciences
"怪诞行为学. 2, 非理性的积极力量",9787508681436.0,45.0,"(美)丹·艾瑞里 (Ariely, Dan) 著",中信出版集团股份有限公司,2017,北京,"18,250页",F069.9,3,2,5,41.89,Social Sciences
"怪诞行为学. 3, 非理性的你",9787508680972.0,42.0,"(美)丹·艾瑞里 (Ariely, Dan) 著",中信出版集团股份有限公司,2017,北京,231页 : 图,F069.9,1,0,1,4.98,Social Sciences
"怪诞行为学. 4, 诚实的真相",9787508681481.0,45.0,"(美)丹·艾瑞里 (Ariely, Dan) 著",中信出版集团股份有限公司,2017,北京,"28,222页",F069.9,1,0,1,24.08,Social Sciences
"怪诞行为学. 6, 非凡的决定",9787521711981.0,49.0,"(美)丹·艾瑞里 (Ariely, Dan) 著",中信出版集团股份有限公司,2019,北京,200页 : 图,F069.9,1,0,1,38.86,Social Sciences
总结：毛姆创作生涯回忆录,9787532785520.0,52.0,（英）毛姆著,上海译文出版社有限公司,2021,上海,285页,I561.55,1,0,1,,Literature
悉达多,9787201112695.0,32.0,(德)黑塞著 姜乙译,天津人民出版社,2017.01   ,天津,137页     ,I516.45,3,0,3,15.95,Literature
悖论与谬误 ,9787542872326.0,55.0,"(美)马丁·加德纳 (Gardner, Martin) 著", 上海科技教育出版社有限公司, 2020,上海 ,245页 : 图 ,O1-49,1,0,1,48.35,Science
悲伤即成长,9787115598561.0,59.8,(美)芬奇著,人民邮电出版社,2022,北京,278页,B821-49,2,1,3,47.28,General / Misc
情书,9787544292870.0,45.0,(日)岩井俊二著,南海出版公司,2018,海口,180页,I313.45,1,0,1,,Literature
情节与历史叙事,9787208178755.0,85.0,(法）利科著,上海人民出版社,2023,上海,308页,B089.2,1,0,1,13.19,General / Misc
情节线,9787300301341.0,45.0,"(美)简·K. 克莱兰 (女，Cleland, Jane K.) 著",中国人民大学出版社,2022,北京,230页,I054,0,0,0,,Literature
惊艳一击：数理史上的绝妙证明,9787521311532.0,69.0,曹则贤 (1966~) 著, 外语教学与研究出版社, 2019,北京 ,277页 : 图，照片 ,O-091,1,0,1,121.13,Science
惜别,9787559457493.0,52.0,(日)太宰治著,江苏凤凰文艺出版社,2021,南京,242页,I313.45,1,1,2,,Literature
想呀想呀想不停,9787555024941.0,49.8,（日）吉竹伸介著,海峡文艺出版社,2020 2021重印,福州,121页,I313.65,1,0,1,,Literature
想象,9787532764082.0,48.0,(法)萨特著　杜小真译,上海译文出版社,2014,上海,188,B565.53,2,0,2,8.11,General / Misc
